id,organization,first_name,last_name,category_id,category,business_type,sex,phone_number_1,phone_number_1_organizational_position,phone_number_1_name,phone_number_1_ex,phone_number_1_note,phone_number_2,phone_number_2_name,phone_number_2_organizational_position,phone_number_2_ex,phone_number_2_note,phone_number_3,phone_number_3_name,phone_number_3_organizational_position,phone_number_3_ex,phone_number_3_note,phone_number_4,phone_number_4_name,phone_number_4_organizational_position,phone_number_4_ex,phone_number_4_note,phone_number_5,phone_number_5_name,phone_number_5_organizational_position,phone_number_5_ex,phone_number_5_note,phone_number_6,phone_number_6_name,phone_number_6_organizational_position,phone_number_6_ex,phone_number_6_note,fax,mobile_number_1,mobile_number_1_name,mobile_number_1_note,mobile_number_1_email,mobile_number_2,mobile_number_2_name,mobile_number_2_note,mobile_number_2_email,mobile_number_3,mobile_number_3_name,mobile_number_3_note,mobile_number_3_email,mobile_number_4,mobile_number_4_name,mobile_number_4_note,mobile_number_4_email,province,city,address_1,postal_code_1,address_2,postal_code_2,address_3,postal_code_3,description,customer_id,color,note,created_at,modified_at,owner,latest_editor,latest_editor_log,deleted_data,active
2378,باربری کامیون بار,,,, بنگاه و باربری,,,021-66460322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-66416380,09161620964,,,,,,,,,,,,,,,,,,ایران ,,,,,,,,,,,,,,,,
2379,باربری کسری فر,,,, بنگاه و باربری,,, 021-33889799,,,,,021-33770510,,,,, 021-33770511,,,,,,,,,,,,,,,,,,,,021-33889862,,,,,,,,,,,,,,,,,,,ایران ,,,,,,,,,,,,,,,,
2380,باربری کوروش,,,, بنگاه و باربری,,,021-55060198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان شوش، خیابان صابونیان",,,,,,,,,,,,,,,,
2381,باربری کوه رخش,,,, بنگاه و باربری,,, 021-33601716,,,,,021-33601715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ایران ,,,,,,ماشین دربستی,,,,,,,,,,
2382,باربری کوه رخش 1,,,, بنگاه و باربری,,,021-55051482,,,,,021-33320596,,,,,021-33320599,,,,,,,,,,,,,,,,,,,,021-33334678,09121210443,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران دفتر پایانه: جاده ساوه، نسیم شهر، پایانه های استان تهران، غرفه شاید 9",,,,,,ماشین دربستی,,,,,,,,,,
2383,باربری کویر طاهر,,,, بنگاه و باربری,,,021-33421450,,,,,021-33421454,,,,,,,,,,,,,,,,,,,,,,,,,,09121252221,,,,,,,,,,,,,,,,اصفهان,کاشان,ایران اصفهان کاشان ,,,,,,,,,,,,,,,,
2384,باربری ممتاز,,,, بنگاه و باربری,,, 021-33374451,,,,,021-33398958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ایران ,,,,,,ماشین دربستی,,,,,,,,,,
2385,باربری میر حسینی,,,, بنگاه و باربری,,, 021-55305473,,,,, 021-55078318,,,,,021-55305473,,,,,021-55043765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان شوش، میدان هرندی، جنب بانک صادرات",,,,,,خط مشهد 55306248,,,,,,,,,,
2386,باربری میعادبار,,,, بنگاه و باربری,,,021-33883634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ایران ,,,,,,,,,,,,,,,,
2387,باربری میهن تو,,,, بنگاه و باربری,,,021-66717527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان فردوسی، پشت بانک مسکن مرکزی",,,,,,,,,,,,,,,,
2388,باربری نام آوران,,,, بنگاه و باربری,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09177103047,,,,,,,,,,,,,,,,فارس,شیراز,ایران فارس شیراز ,,,,,,,,,,,,,,,,
2389,باربری نوید غربی,,,, بنگاه و باربری,,,021-55180182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09123756649,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان شوش، جنب ایستگاه مترو شوش",,,,,,,,,,,,,,,,
2390,باربری وسیله نقلیه سنگین,,,, بنگاه و باربری,,, 021-33385358,,,,,021-33385359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ایران ,,,,,,,,,,,,,,,,
2391,باربری وطن,,,, بنگاه و باربری,,,021-55187272,,,,,021-4450700,,,,,021-55187373,,,,, 021-55187272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شوش غربی، چهار راه خانی آباد، اول رجائی، پلاک 763",,,,,,باربری وطن 55187272,,,,,,,,,,
2392,باربری یزد شیرازیان,,,, بنگاه و باربری,,,021-33558483,,,,,021-33558481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان ری، مقابل خیابان خراسان، روبروی پارک کوثر، باربری یزد شیرازیان",,,,,,,,,,,,,,,,
2393,باربری یزدانی,,,, بنگاه و باربری,,,021-55074617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان شوش، چهار راه چیت سازی، خیابان شهید رجایی شمالی، روبروی درب گمرک جنوب، کوچه غفاری، جنب شهرداری بنگاه یزدانی",,,,,,,,,,,,,,,,
2394,برادران صادقی,,,, بنگاه و باربری,,,021-56547559,,,,,2156547560,,,,,,,,,,,,,,,,,,,,,,,,,021-56546934,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شورآباد، خیابان شهید مدنی، جنب پست برق سبلان",,,,,,,,,,,,,,,,
2395,بنگاه 110 مجید,,,, بنگاه و باربری,,, 021-56540630,,,,,021-56540628,,,,,,,,,,,,,,,,,,,,,,,,,021-56540631,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شور آباد، خیابان شهید مدنی، بعداز میدان ، دست راست، پلاک 46",,,,,,,,,,,,,,,,
2396,بنگاه آپادانا,,,, بنگاه و باربری,,, 021-56542383,,,,, 021-56542381,,,,,021-56542382,,,,, 021-56542384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شصد(60) متری شور آباد، سوم جنوبی ",,,,,,,,,,,,,,,,
2397,بنگاه آرش,,قربانی,, بنگاه و باربری,,,021-56545883,,,,,021-56545884,,,,,,,,,,,,,,,,,,,,,,,,,"021-56546907, 021-56540404",,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شورآباد، انتهای خیابان مهدی آباد",,,,,,,,,,,,,,,,
2398,بنگاه آریان,,,, بنگاه و باربری,,,021-56541217,,,,,021-56541218,,,,,,,,,,,,,,,,,,,,,,,,,021-56541703,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران مهدی آباد ، 800 متر داخل خیابان ، بنگاه آریان",,,,,,,,,,,,,,,,
2399,بنگاه امیر,,,, بنگاه و باربری,,,021-56547478,,,,,021-56543630,,,,,,,,,,,,,,,,,,,,,,,,,021-56547472,09121502810,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شصت(60)متری شور آباد، خیابان چهارم جنوبی، انبار امیر",,,,,,,,,,,,,,,,
2400,بنگاه انقلاب 110,,,, بنگاه و باربری,,,021-33745564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران جاده شهرزاد، نرسیده به میدان دولت آباد، خیابان شکوفه",,,,,,,,,,,,,,,,
2401,بنگاه باسط,,,, بنگاه و باربری,,,021-56545171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران باسط,,,,,,,,,,,,,,,,
2402,بنگاه برادران صادقی,,,, بنگاه و باربری,,,021-56547559,,,,,021-56547560,,,,,,,,,,,,,,,,,,,,,,,,,021-56546934,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شور آباد، خیابان شهید مدنی، جنب پست برق سبلان",,,,,,,,,,,,,,,,
2403,بنگاه پارس,,,, بنگاه و باربری,,,021-56543929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شورآباد، ابتدای جاده واوان، مجتمع مروارید",,,,,,,,,,,,,,,,
2404,بنگاه پازوکی,,,, بنگاه و باربری,,,021-55300494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ایران ,,,,,,,,,,,,,,,,
2405,بنگاه تبریزیان,,,, بنگاه و باربری,,,021-33880312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان فدائیان اسلام، ایستگاه امید، مقابل پمپ گاز، پلاک 598، بر خیابان",,,,,,,,,,,,,,,,
2406,بنگاه تعاون,,,, بنگاه و باربری,,,021-56541997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-56541998,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شصت(60)متری شور آباد، نبش خیابان هشتم شمالی، انبار تعاون",,,,,,,,,,,,,,,,
2407,بنگاه جنت,,,, بنگاه و باربری,,,021-56542435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-56542484,,,,,,,,,,,,,,,,,قم,قم,"ایران قم قم جاده قدیم قم، شور آباد، بعد از مهدی آباد، روبروی انبار سام یک، خیابان خلیج فارس، انتهای خیابان",,,,,,,,,,,,,,,,
2408,بنگاه حافظیه,,,, بنگاه و باربری,,,021-56547468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ایران ,,,,,,,,,,,,,,,,
2409,بنگاه حدیث,,,, بنگاه و باربری,,,021-56545151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-56540287,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران شور آباد,,,,,,,,,,,,,,,,
2410,بنگاه حر,,,, بنگاه و باربری,,, 021-33741015,,,,,021-33740496,,,,,,,,,,,,,,,,,,,,,,,,,"021-33380395, 021-33740496",,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس : تهران، خیابان فدائیان اسلام، نرسیده به پل سیمان، خیابان سرزعیم، فرعی اول، دست راست، پلاک 10جدید",,,,,,,,,,,,,,,,
2411,بنگاه خوبان,,,, بنگاه و باربری,,,56546118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,قم,قم,"ایران قم قم شورآباد، مهدی آباد، انتهای خیابان صداقت، سمت راست",,,,,,,,,,,,,,,,
2412,بنگاه دولت آباد,,,, بنگاه و باربری,,,021-33745564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان فدائیان اسلام، ایستگاه ممتاز، خیابان پروین اعتصامی، چهار راه اول، سمت چپ، خیابان شکوفه",,,,,,,,,,,,,,,,
2413,بنگاه رنگچی,,,, بنگاه و باربری,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-66812242,,,,,,,,,,,,,,,,,البرز,,"ایران البرز جاده قدیم کرج، بعد از میدان شیر پاستوریزه، فتح نوزدهم، پلاک 24",,,,,,,,,,,,,,,,
2414,بنگاه سادات,مجید,محبی,, بنگاه و باربری,,, 021-565455930,,,,,021-56545593,,,,,021-56544436,,,,,021-56544437,,,,, 021-56545594,,,,, 021-56546430,,,,,021-56541971,09126878794,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شورآباد، خیابان مهدی آباد، بعد از بنگاه مدرن، پلاک 17",,,,,,شناسه انبار سادات 0068826508,,,,,,,,,,
2415,بنگاه شتاب,,,, بنگاه و باربری,,,021-56545338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-56545339,,,,,,,,,,,,,,,,,قم,قم,"ایران قم قم جاده قدیم قم، بعد از شور آباد، داخل خیابان مهدی آباد، بنگاه شتاب",,,,,,,,,,,,,,,,
2416,بنگاه صبا,,,, بنگاه و باربری,,,021-56546361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شور آباد، 60 متری، خیابان پنجم جنوبی",,,,,,,,,,,,,,,,
2417,بنگاه عدل تهران,,,, بنگاه و باربری,,, 021-56546651,,,,,2156546652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شور آباد، خیابان 5 جنوبی، پلاک 48",,,,,,,,,,,,,,,,
2418,بنگاه عدل خزر,,,, بنگاه و باربری,,,021-56545597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-56547205,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شور آباد، بعد از 60 متری شور آباد، خیابان مهدی آباد، 1500 متر داخل خیابان",,,,,,,,,,,,,,,,
2419,بنگاه عدل کاظمی,,,, بنگاه و باربری,,,021-56546188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,قم,قم,"ایران قم قم جاده قدیم قم، بعد از خیابان واوان، خیابان شهید مدنی، انتهای خیابان",,,,,,,,,,,,,,,,
2420,بنگاه عدل مجید,,,, بنگاه و باربری,,, 021-56540627,,,,, 021-56540629,,,,,021-56540628,,,,, 021-56540631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ایران ,,,,,,,,,,,,,,,,
2421,بنگاه عدل نیکان,,,, بنگاه و باربری,,, 021-56544960,,,,,021-56544961,,,,,,,,,,,,,,,,,,,,,,,,,021-56547732,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شور آباد، خیابان مهدی آباد، خیابان 20 متری پویا، خیابان مفتح، روبروی کارخانه گرما گستر، انبار عدل نیکان",,,,,,,,,,,,,,,,
2422,بنگاه علی آبادی,,,, بنگاه و باربری,,, 0232-4272727,,,,,0232-4272728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سمنان,,ایران سمنان ایوانکی,,,,,,,,,,,,,,,,
2423,بنگاه علی شاهی,,,, بنگاه و باربری,,,021-56546771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-56548356,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران مهدی آباد، جنب 22 بهمن",,,,,,,,,,,,,,,,
2424,بنگاه فرج اللهی,,,, بنگاه و باربری,,,021-56547700,,,,,021-56547706,,,,,,,,,,,,,,,,,,,,,,,,,021-56547706,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شور آباد، خیابان واوان، 1500 متر داخل خیابان دست راست",,,,,,,,,,,,,,,,
2425,بنگاه فرد باقری,,,, بنگاه و باربری,,,021-56546401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-56546405,,,,,,,,,,,,,,,,,قم,قم,"ایران قم قم جاده قدیم قم، شور آباد، خیابان عبدل آباد، خیابان صداقت، نبش چهار راه مفتح",,,,,,,,,,,,,,,,
2426,بنگاه فروهر,,کاغذی,, بنگاه و باربری,,,021-56545852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-56546407,09122785850,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شور آباد، بعد از 60 متری شور آباد، خیابان شهید مدنی، چهار راه اول(خیابان 22 بهمن)  سمت چپ، نبش اولین چهار راه",,,,,,09194007281 آقای مجید کاغذی,,,,,,,,,,
2427,بنگاه کاشانی,,,, بنگاه و باربری,,,021-55189009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09123407724,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان فدائیان اسلام شمالی، بعد از بلوار ابریشم، نرسیده به پل کمربندی، کوچه مهرگان",,,,,,,,,,,,,,,,
2428,بنگاه کریم زاده,,,, بنگاه و باربری,,,021-56546266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران کیلومتر 20 جاده تهران   قم، شورآباد، خیابان شهید مدنی، خیابان 22 بهمن، نبش چهارراه اول، انبار آلکافیلترایران",,,,,,,,,,,,,,,,
2429,بنگاه کمال,,,, بنگاه و باربری,,,021-66804610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ایران ,,,,,,,,,,,,,,,,
2430,بنگاه لاله,,سوداچی,, بنگاه و باربری,,,021-44922480,,,,,021-44922483,,,,,,,,,,,,,,,,,,,,,,,,,021-44922362,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران جاده قدیم تهران، کرج، چهار راه ایران خودرو، 50 متر بالاتر از چهار راه ایران خودرو، به سمت کرج، بلوار گلستانک، پلاک 4",,,,,,,,,,,,,,,,
2431,بنگاه ماهر,,,, بنگاه و باربری,,,021-56544515,,,,,021-56544514,,,,,,,,,,,,,,,,,,,,,,,,,021-56543698,,,,,,,,,,,,,,,,,قم,قم,"ایران قم قم جاده قدیم قم، بعد از 60متری شور آباد، خیابان چهارم جنوبی",,,,,,,,,,,,,,,,
2432,بنگاه مجید 110,,,, بنگاه و باربری,,,021-56540628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-56540631,,,,,,,,,,,,,,,,,قم,قم,"ایران قم قم جاده قدیم قم، بعد از 60 متری شور آباد، خیابان شهید مدنی، بعد از میدان، دست راست",,,,,,,,,,,,,,,,
2433,بنگاه محمود,,,, بنگاه و باربری,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران باقر شهر، شهر سنگ نبش خیابان سوم",,,,,,,,,,,,,,,,
2434,عدل امید سابق,,,, بنگاه و باربری,,, 021-56541028,,,,,021-56543705,,,,,,,,,,,,,,,,,,,,,,,,,021-56543710,09122134446,,,,,,,,,,,,,,,,قم,قم,"ایران قم قم بر جاده قدیم قم، شور آباد، خیابان دوم شرقی، نبش چهارراه چهارم",,,,,,,,,,,,,,,,
2435,بنگاه نخل,,,, بنگاه و باربری,,,021-56544288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-56544980,09126008315,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران شورآباد   بعد از خیابان عبدل آباد و مهدی آباد  روبروی انبار سام 1    خیابان خلیج فارس,1818173686,,,,,شناسه بنگاه 1287831095,,,,,,,,,,
2436,بنگاه نصر گنجی زاده,,,, بنگاه و باربری,,,021-55003476,,,,, 021-55003185,,,,,,,,,,,,,,,,,,,,,,,,,021-55009758,,,,,,,,,,,,,,,,,,,ایران ,,,,,,,,,,,,,,,,
2437,بنگاه نوری,,,, بنگاه و باربری,,, 0122-6271552,,,,,021-6273581,,,,,,,,,,,,,,,,,,,,,,,,,,09113220172,,,,,,,,,,,,,,,,,,ایران شمال,,,,,,,,,,,,,,,,
2438,بنگاه نیکو اصفهان ,,بهشتی,, بنگاه و باربری,,, 031-33864315,,,,, 031-33864432,,,,,031-33864283,,,,,031-33864452,,,,,,,,,,,,,,,031-33864452,,,,,,,,,,,,,,,,,اصفهان,اصفهان,"ایران اصفهان اصفهان منطقه شاپور جدید، خیابان شهید بابا گلی، انبار نیکو",,,,,,,,,,,,,,,,
2439,بنگاه والا,,,, بنگاه و باربری,,,021-56540821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-56540820,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شور آباد، مهدی آباد، خیابان عبدل آباد، بنگاه والا",,,,,,بنگاه خصوصی,,,,,,,,,,
2440,بنگاه همت,,,, بنگاه و باربری,,,021-56549215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-56549387,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شصد(60) متری شور آباد، انتهای خیابان هفتم جنوبی",,,,,,,,,,,,,,,,
2441,بنگاه یکتا,,,, بنگاه و باربری,,,021-56544461,,,,,021-56544463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ایران ,,,,,,,,,,,,,,,,
2442,,,بوربور ,, بنگاه و باربری,,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09123910386,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,راننده,,,,,,,,,,
2443,پارک سوار بیهقی,,,, بنگاه و باربری,,,021-88743416,,,,,021-88743419,,,,,,,,,,,,,,,,,,,,,,,,,021-88734649,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران میدان آرژانتین، پارک سوار بیهقی",,,,,,,,,,,,,,,,
2444,پرشیا مهرو,,,, بنگاه و باربری,,,021-88481950,,,,,021-88481954,,,,,,,,,,,,,,,,,,,,,,,,,"021-88708317, 021-88708317",,,,,,,,,,,,,,,,,تهران,تهران,"یوسف آباد،خیابان ابن سینا،نبش کوچه 19/1،پلاک 14،طبقه اول،واحد 1 ایران تهران تهران ولیعصر، نرسیده به چهارراه طالقانی، کوچه رحیم زاده، بن بست فرهنگ، پلاک 4، طبقه 2", ,,,,,,,,,,,,,,,
2445,پرشین کارگو,,,, بنگاه و باربری,,,021-88522801,,,,,021-88522802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران سیدخندان، ابتدای سهروردی شمالی، خیابان حاج حسنی، پلاک 5، طبقه 5، واحد 19",,,,,,,,,,,,,,,,
2446,پست هوایی هما رسان,,,, بنگاه و باربری,,, 021-86036228,,,,,021-86036213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اشتراک907,,,,,,,,,,
2447,ترمینال آرژانتین,,,, بنگاه و باربری,,,021-88534383,,,,,021-88534385,,,,,021-88534386,,,,,021-44632007,,,,,021-44632009,,,,, 021-88543877,,,,,021-88506772,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران میدان آرژانتین,,,,,,تبری ز-شیراز-رشت-اصفهان-ارومیه ,,,,,,,,,,
2448,ترمینال جنوب,,,, بنگاه و باربری,,,021-55185419,,,,, 021-55185376,,,,,021-55185312,,,,,021-55185319,,,,,021-55185501,,,,,021-55185415,,,,,021-55185313,,,,,,,,,,,,,,,,,,,ایران ,,,,,,"یزد (تعاونی 1)-عسلویه (تعاونی 4) -کاشان (تعاونی 17) -اردبیل (تعاونی 14) -مشهد،تبریز،اصفهان (تعاونی 9) -شیراز،خوزستان،ماهشهر،بندرگناوه (تعاونی 10 - کرمان- ",,,,,,,,,,
2449,ترمینال کار اندیش,,,, بنگاه و باربری,,,021-77301654,,,,,021-77303967,,,,,021-77301655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ایران ,,,,,,,,,,,,,,,,
2450,ترمینان غرب-آزادی,,,, بنگاه و باربری,,,021-44632022,,,,,021-44634041,,,,,021-44632007,,,,,021-44632009,,,,,021-44663954,,,,,021-44663955,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران میدان آزادی,,,,,,تعاونی 9,,,,,,,,,,
2451,,محمد,حسینی,, بنگاه و باربری,,مرد,021-22217962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,فارس,شیراز,ایران فارس شیراز ,,,,,,,,,,,,,,,,
2452,حمل و نقل راشک,,,, بنگاه و باربری,,,021-88673261,,,,,021-88673260,,,,,021-88673259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ایران ,,,,,,,,,,,,,,,,
2453,,,خلیل زاده,, بنگاه و باربری,,,021-66434218,,,,, 021-66434219,,,,,,,,,,,,,,,,,,,,,,,,,021-66438942,09122790342,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران جمالزاده شمالی، نرسیده به بلوار کشاورز، مقابل شهرداری منطقه شش، پلاک 386، طبقه اول، شماره 2",,,,,,فکس گمرک 66269896,,,,,,,,,,
2454,دریابار,,,, بنگاه و باربری,,,021-88767359,,,,,021-88764552,,,,,021-88764553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران بهشتی، نرسیده به چهارراه سهروردی، پلاک 81، طبقه اول",,,,,,,,,,,,,,,,
2455,رهنگار پارس,,,, بنگاه و باربری,,,021-88672824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران میدان آرژانتین، ساختمان مرکزی بنیاد، طبقه 5، هولدینگ حمل و نقل",,,,,,هولدینگ حمل و نقل,,,,,,,,,,
2456,ساحل بیکران آریا لند,,,, بنگاه و باربری,,,021-88773555,,,,,021-88773666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ایران ,,,,,,,,,,,,,,,,
2457,سواری استقلال,,,, بنگاه و باربری,,,021-44643050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران میدان آزادی، جلوی ترمینال غرب",,,,,,,,,,,,,,,,
2458,,,قرجه,, بنگاه و باربری,,مرد,021-2343685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,گلستان,گرگان,ایران گلستان گرگان ,,,,,,,,,,,,,,,,
2459,کا میاران,,نژادمحمدی,, بنگاه و باربری,,,021-56546227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,جاده قدیم قم   بعد از 60 متری شورآباد   دست راست خیابان واوان   1500 متر داخل خیابان,,,,,,شناسه انبار 1189524864,,,,,,,,,,
2648,DHL پست,,,, شرکت های خدماتی,,, 021-84088888,,,,, 021-84084089,,,,,021-84084079,,,,,,,,,,,,,,,,,,,,"021-88720610, 02188721717",,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان خالد اسلامی  وزرا ، نبش کوچه 21 ، ساختمان شیراز ، پلاک 137",,,,,,84079    داخلی 220,,,,,,,,,,
2649,آتشنشانی,,,, شرکت های خدماتی,,,021-44086036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09125305624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650,,سعیده,آذرخش,, شرکت های خدماتی,مشاور ایزو,زن, 021-66282070,,,,,021-44079722,,,,, 021-66282075,,,,,,,,,,,,,,,,,,,,,09125216064,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران  صادقیه، بلوار آیت الله کاشانی، خیابان شاهین جنوبی، خیابان پیامبر غربی، خیابان نادری، کوچه هشتم، پلاک 27، واحد یک",,,,,,,,,,,,,,,,
2651,آرشیام جهان,,حجتی,, شرکت های خدماتی,,,021-88250394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2652,آروین پردازش بهستان,,,, شرکت های خدماتی,,,021-77008489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09125953568,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,شوهر آرایشگاه شیما       این شماره گرفته شود     09190201003 پرینتر فکس -حسینی ,,,,,,,,,,
2653,آریا ارتباط سماء,,,, شرکت های خدماتی,,, 021-88864053,,,,,021-88967763,,,,, 021-33305914,,,,, 021-33305916,,,,, 021-88864057,,,,,,,,,,021-33336468,09122459012,,,,,,,,,,,,,,,,,,,,,,,,تعمیرات دوربین های دفتر,,,,,,,,,,
